# SYNTHETIC DATA — generated by training/generate_data.py. Fabricated, not real banking data.
product_id,lender,product_name,purposes,annual_rate,min_amount,max_amount,min_tenure_months,max_tenure_months,min_credit_score,min_monthly_income,processing_fee_pct,SYNTHETIC
HL-101,Meridian Bank,Meridian Home Advantage,HOME,8.35,500000,15000000,60,240,750,70000,0.35,TRUE
HL-102,Kestrel Housing Finance,Kestrel FlexiHome,HOME,9.1,300000,8000000,60,240,700,45000,0.5,TRUE
HL-103,Sundial Credit Union,Sundial First Home,HOME,10.25,250000,5000000,36,180,640,28000,1.0,TRUE
HL-104,Meridian Bank,Meridian Smart Home,HOME,8.1,1000000,20000000,84,300,780,90000,0.4,TRUE
HL-105,Kestrel Housing Finance,Kestrel DreamHome,HOME,8.75,400000,10000000,48,240,720,50000,0.5,TRUE
HL-106,Anvil Credit,Anvil HomeFirst,HOME,9.5,300000,7500000,36,240,680,40000,0.8,TRUE
HL-107,Harbourline Finance,Harbourline HomeStart,HOME,10.0,200000,4500000,36,180,620,25000,1.0,TRUE
HL-108,Cobalt Money,Cobalt Prime Home,HOME,8.9,600000,12000000,60,240,740,60000,0.6,TRUE
HL-109,Meridian Bank,Meridian Green Home,HOME,8.25,700000,18000000,84,300,770,85000,0.4,TRUE
HL-110,Kestrel Housing Finance,Kestrel HomeFlexi,HOME,9.0,350000,9000000,48,240,710,48000,0.5,TRUE
HL-111,Ironvale Capital,Ironvale HomeEdge,HOME,9.75,250000,6000000,36,216,660,32000,0.9,TRUE
HL-112,Cobalt Money,Cobalt Urban Home,HOME,9.3,500000,11000000,60,240,730,55000,0.6,TRUE
HL-113,Sundial Credit Union,Sundial City Home,HOME,9.85,300000,7000000,36,216,650,30000,0.9,TRUE
HL-114,Harbourline Finance,Harbourline Terrace,HOME,10.5,150000,3500000,24,144,600,20000,1.2,TRUE
HL-115,Anvil Credit,Anvil Luxury Home,HOME,8.7,2000000,50000000,120,360,800,150000,0.3,TRUE
VL-201,Meridian Bank,Meridian Auto Prime,VEHICLE,9.4,150000,3500000,12,84,740,50000,0.5,TRUE
VL-202,Harbourline Finance,Harbourline Drive,VEHICLE,11.75,80000,1800000,12,60,660,25000,1.25,TRUE
VL-203,Meridian Bank,Meridian Car Select,VEHICLE,9.0,200000,5000000,12,84,760,60000,0.5,TRUE
VL-204,Kestrel Housing Finance,Kestrel AutoEasy,VEHICLE,9.9,100000,3000000,12,72,700,35000,0.6,TRUE
VL-205,Sundial Credit Union,Sundial Ride,VEHICLE,10.75,70000,1500000,12,60,620,22000,0.9,TRUE
VL-206,Cobalt Money,Cobalt Motor Prime,VEHICLE,9.65,150000,4000000,12,84,720,45000,0.6,TRUE
VL-207,Anvil Credit,Anvil TwoWheeler,VEHICLE,12.5,30000,400000,6,48,600,18000,1.0,TRUE
VL-208,Ironvale Capital,Ironvale DrivePro,VEHICLE,10.25,120000,2500000,12,72,680,30000,0.9,TRUE
VL-209,Meridian Bank,Meridian EV Advantage,VEHICLE,8.9,300000,8000000,24,120,750,70000,0.6,TRUE
VL-210,Harbourline Finance,Harbourline Fleet,VEHICLE,11.0,500000,15000000,12,84,700,80000,1.0,TRUE
VL-211,Cobalt Money,Cobalt CarFlex,VEHICLE,10.0,80000,2200000,12,60,650,28000,0.8,TRUE
VL-212,Sundial Credit Union,Sundial AutoCare,VEHICLE,11.5,60000,1200000,12,48,600,20000,1.0,TRUE
VL-213,Kestrel Housing Finance,Kestrel Pre-Owned Car,VEHICLE,12.0,50000,1500000,12,60,630,25000,1.1,TRUE
VL-214,Anvil Credit,Anvil AutoPrime Plus,VEHICLE,9.85,200000,4500000,12,84,730,52000,0.6,TRUE
VL-215,Ironvale Capital,Ironvale SUV Loan,VEHICLE,9.7,300000,7000000,12,84,745,60000,0.7,TRUE
EL-301,Kestrel Housing Finance,Kestrel Scholar,EDUCATION,8.75,200000,6000000,24,144,680,30000,0.25,TRUE
EL-302,Sundial Credit Union,Sundial Study Support,EDUCATION,10.5,100000,2500000,24,120,620,20000,0.75,TRUE
EL-303,Meridian Bank,Meridian Future Fund,EDUCATION,8.4,300000,10000000,24,180,750,60000,0.3,TRUE
EL-304,Kestrel Housing Finance,Kestrel Global Degree,EDUCATION,9.1,500000,15000000,36,240,730,75000,0.3,TRUE
EL-305,Cobalt Money,Cobalt Bright Start,EDUCATION,9.6,150000,4000000,12,120,680,25000,0.5,TRUE
EL-306,Anvil Credit,Anvil Uni Loan,EDUCATION,10.0,100000,3000000,12,120,650,22000,0.7,TRUE
EL-307,Harbourline Finance,Harbourline StudySmart,EDUCATION,10.9,80000,2000000,12,96,610,18000,0.8,TRUE
EL-308,Sundial Credit Union,Sundial PG Support,EDUCATION,10.2,150000,3500000,24,144,660,28000,0.7,TRUE
EL-309,Meridian Bank,Meridian SkillBridge,EDUCATION,8.9,100000,1500000,12,60,700,25000,0.4,TRUE
EL-310,Ironvale Capital,Ironvale Education Prime,EDUCATION,9.8,200000,5000000,24,144,690,35000,0.6,TRUE
EL-311,Kestrel Housing Finance,Kestrel Abroad Study,EDUCATION,9.3,1000000,25000000,48,300,760,100000,0.3,TRUE
EL-312,Cobalt Money,Cobalt UG Loan,EDUCATION,9.4,50000,1200000,12,96,630,15000,0.6,TRUE
EL-313,Anvil Credit,Anvil Merit Loan,EDUCATION,9.2,300000,6000000,24,180,720,40000,0.5,TRUE
EL-314,Sundial Credit Union,Sundial Bootcamp Funding,EDUCATION,11.0,60000,800000,6,36,600,15000,0.9,TRUE
EL-315,Harbourline Finance,Harbourline PhD Line,EDUCATION,8.8,700000,12000000,36,240,740,55000,0.4,TRUE
PL-401,Anvil Credit,Anvil Personal Prime,PERSONAL|MEDICAL,12.9,100000,2000000,12,60,720,45000,1.5,TRUE
PL-402,Cobalt Money,Cobalt Flexi Personal,PERSONAL,15.5,50000,1200000,12,48,660,25000,2.25,TRUE
PL-403,Harbourline Finance,Harbourline Everyday,PERSONAL|MEDICAL,17.9,40000,700000,12,36,600,18000,2.75,TRUE
PL-404,Meridian Bank,Meridian Personal Select,PERSONAL,11.9,150000,3000000,12,60,740,50000,1.0,TRUE
PL-405,Kestrel Housing Finance,Kestrel Personal Plus,PERSONAL,12.5,100000,1800000,12,60,700,35000,1.2,TRUE
PL-406,Sundial Credit Union,Sundial Personal Line,PERSONAL,13.9,50000,900000,12,48,630,22000,1.8,TRUE
PL-407,Cobalt Money,Cobalt Instant Personal,PERSONAL,16.5,25000,500000,3,36,580,15000,3.0,TRUE
PL-408,Ironvale Capital,Ironvale Personal Edge,PERSONAL,13.2,120000,2500000,12,60,710,40000,1.4,TRUE
PL-409,Anvil Credit,Anvil Personal Flex,PERSONAL,14.5,80000,1600000,12,60,680,30000,1.8,TRUE
PL-410,Meridian Bank,Meridian Salary Advantage,PERSONAL,10.9,200000,4000000,24,84,760,70000,0.8,TRUE
